spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,solving_time_feature1_2_7_10286,solving_time_feature8_2_7_10286,solving_time_feature9_1_2_10286,solving_time_feature10_1_2_8287,solving_time_feature11_2_7_4435,solving_time_feature12_2_7_4435,solving_time_amazon_micro_2_7_10286,solving_time_azure_2_7_10286,solving_time_amazon_nano_2_7_10286,solving_time_feature20_2_7_10286
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.005,0.08,0.125,0.115,0.04,0,0,0.005,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.01,5,5,5,5.01,5,5.01,5,5
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0.03,0.02,0.965,0.005,0.035,0.025,0.025,0.02,0.025
1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.005,5.01,5,5,5.01,5.01,5.01,5.01,5,5.02
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.065,0.12,0.01,0.1,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.01,5.02,5,5,5.01,5.01,5.02,5.02,5,5.01
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0.015,0.975,0.05,0.18,0,0,0,0.005
1,1,1,0,0,0,0,0,0,0,0,0,0,0,4.985,2.08,5,5,5.01,5.01,2.01,2.125,5,2.285
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.065,0.125,0.065,0.22,0.005,0.005,0.01,0.01
1,0,0,1,0,0,0,0,0,0,0,0,0,0,5.025,5.02,5,5,5.02,5.03,5.02,5.02,5,5.02
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.025,0.01,0.02,0.97,0.03,0.04,0.01,0.01,0.01,0.015
1,1,0,1,0,0,0,0,0,0,0,0,0,0,5.03,5.02,5,5,5.02,5.03,5.02,5.02,5,5.02
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.02,0.005,0.06,0.12,0.065,0.205,0,0.01,0.005,0.005
1,0,1,1,0,0,0,0,0,0,0,0,0,0,5.03,5.02,5,5,5.02,5.03,5.02,5.025,5,5.02
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.015,0.99,0.03,0.04,0.01,0.01,0.01,0.005
1,1,1,1,0,0,0,0,0,0,0,0,0,0,5.025,5.02,5,5,5.02,5.03,5.02,5.02,5,5.02
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15,0.065,0.04,0.08,0.305,0.065,0.06,0.06,0.07,0.07
1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.01,5.01,5,5,5.015,5.02,5.01,5.01,5,5.02
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.05,0.02,0.03,0.5,0.345,0.225,0.02,0.02,0.02,0.03
1,1,0,0,1,0,0,0,0,0,0,0,0,0,5.01,5.01,5,5,5.02,5.02,5.015,5.01,5,5.02
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.15,0.07,0.04,0.085,0.305,0.06,0.065,0.065,0.065,0.07
1,0,1,0,1,0,0,0,0,0,0,0,0,0,5.01,5.01,5,5,5.02,5.02,5.01,5.01,5,5.02
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.05,0.02,0.03,0.505,0.35,0.225,0.02,0.02,0.02,0.03
1,1,1,0,1,0,0,0,0,0,0,0,0,0,5.015,5.01,5,5,5.02,5.02,5.01,5.015,5,5.02
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.15,0.07,0.04,0.085,0.315,0.065,0.07,0.075,0.065,0.06
1,0,0,1,1,0,0,0,0,0,0,0,0,0,5.01,5.01,5,5,5.02,5.02,5.01,5.01,5,5.02
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.05,0.02,0.035,0.505,0.36,0.215,0.02,0.02,0.02,0.03
1,1,0,1,1,0,0,0,0,0,0,0,0,0,5.015,5.01,5,5,5.02,5.02,5.01,5.01,5,5.015
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.15,0.07,0.04,0.085,0.31,0.065,0.07,0.07,0.065,0.065
1,0,1,1,1,0,0,0,0,0,0,0,0,0,5.01,5.01,5,5,5.02,5.02,5.01,5.01,5,5.02
