SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,fillseq,fillseqsync,fillseqbatch,fillrandom,fillrandsync,fillrandbatch,overwrite,overwritebatch,readrandom,readseq,fillrand100K,fillseq100K,readseq,readrand100K,fillseq,fillseqsync,fillseqbatch,fillrandom,fillrandsync,fillrandbatch,overwrite,overwritebatch,readrandom,readseq,fillrand100K,fillseq100K,readseq,readrand100K,fillseq,fillseqsync,fillseqbatch,fillrandom,fillrandsync,fillrandbatch,overwrite,overwritebatch,readrandom,readseq,fillrand100K,fillseq100K,readseq,readrand100K,fillseq,fillseqsync,fillseqbatch,fillrandom,fillrandsync,fillrandbatch,overwrite,overwritebatch,readrandom,readseq,fillrand100K,fillseq100K,readseq,readrand100K,fillseq,fillseqsync,fillseqbatch,fillrandom,fillrandsync,fillrandbatch,overwrite,overwritebatch,readrandom,readseq,fillrand100K,fillseq100K,readseq,readrand100K,fillseq,fillseqsync,fillseqbatch,fillrandom,fillrandsync,fillrandbatch,overwrite,overwritebatch,readrandom,readseq,fillrand100K,fillseq100K,readseq,readrand100K,fillseq,fillseqsync,fillseqbatch,fillrandom,fillrandsync,fillrandbatch,overwrite,overwritebatch,readrandom,readseq,fillrand100K,fillseq100K,readseq,readrand100K
0,0,0,1,0,1,1,0,0,1,1,1,1,0,13.521,2558,5.181,20.444,2606.5,14.214,24.453,19.837,6.358,2.443,441.98,431.49,62.314,68.421,13.641,2566,5.17,20.697,2595.4,14.256,24.842,19.904,6.461,2.436,452.49,437.48,61.632,68.515,11.537,2969.5,2.623,18.12,3066.3,11.054,22.93,17.816,5.295,2.271,202.89,204.26,31.007,31.952,14.24,2515.4,5.209,21.233,2574.7,14.368,25.429,20.117,6.458,2.441,445.63,433.74,63.658,71.113,22.495,15203,8.839,33.751,14275,21.483,48.777,40.212,10.941,3.498,708.28,718.53,124.52,129.23,20.876,18057,4.446,33.565,17487,17.654,52.516,44.261,10.632,3.754,380.91,393.94,80.092,74.611,12.656,1021.6,5.099,21.846,942.86,14.533,27.852,35.563,6.757,2.366,430.62,453.88,57.327,66.631
0,0,0,0,1,0,1,0,0,1,0,0,0,1,10.686,2565.2,4.68,17.78,2628.1,13.555,21.36,18.933,6.491,2.426,447.31,433.27,60.161,68.348,10.699,2560.5,4.608,17.423,2608.2,13.607,21.495,18.965,6.43,2.414,441.79,430.18,60.971,68.639,9.85,2994.2,2.348,16.58,3079.9,10.799,21.042,17.87,5.446,2.14,200.01,200.68,31.256,32.047,10.735,2494.4,4.639,17.529,2547.3,13.674,21.737,19.358,6.563,2.483,444.6,430.88,61.06,69.134,18.511,15456,7.687,28.282,15251,20.188,39.56,33.759,11.976,3.415,699.89,710.5,126.22,128.82,18.395,19141,4.067,33.121,18878,16.845,54.215,45.486,11.072,3.936,368.13,385.09,80.256,74.469,10.31,911.77,4.511,17.812,927.5,14.235,25.309,35.456,6.779,2.422,445.08,460.75,57.245,65.218
0,1,0,1,0,1,0,1,0,0,1,0,1,1,10.753,2560.2,4.532,17.648,2601.6,13.601,21.621,18.991,6.422,2.525,447.63,434.25,66.246,72.234,11.015,2572.3,4.507,18.025,2579.2,13.387,22.059,18.949,6.138,2.389,442.62,434.55,61.692,68.564,9.556,2961.5,1.966,16.013,3029.1,10.294,20.457,17.38,5.004,2.187,199.56,201.33,31.654,30.931,11.297,2510.6,4.534,18.144,2546.8,13.571,22.432,19.345,6.344,2.475,441.99,432,62.404,68.747,18.049,15400,7.616,33.03,15029,20.146,38.088,34.27,12.361,3.526,701.41,703.43,124.53,128.25,17.447,19094,3.293,30.024,18926,16.332,44.962,45.644,12.362,3.797,371.25,389.03,80.185,73.773,10.738,953.4,4.458,19.308,953.17,14.102,25.111,35.769,6.581,2.261,425.84,452.01,58.471,65.503
1,1,0,0,0,1,0,0,1,1,0,1,0,1,13.944,2561.3,5.352,21.247,2602.2,14.384,25.02,19.641,6.353,2.393,444.33,432.37,63.745,71.309,14.017,2564.1,5.262,21.297,2589.2,14.38,25.235,19.996,6.365,2.438,443.71,430.77,60.703,68.146,11.671,2991,2.698,18.477,3089.8,11.163,23.359,17.925,5.339,2.233,204.88,204.66,31.612,31.945,14.11,2515.4,5.319,21.337,2569.4,14.469,25.691,20.308,6.362,2.456,449.3,434.41,62.977,71.017,23.03,14587,9.159,37.635,14239,21.785,45.795,37.399,11.346,3.483,724.07,718.62,126.52,128.98,21.219,17979,4.549,42.031,18181,17.964,59.185,45.687,11.835,3.892,384.76,397.69,80.843,74.656,13.098,937.8,5.208,21.671,980.11,15.607,28.783,35.178,6.453,2.232,419.1,443.38,57.399,65.116
1,0,0,1,1,1,0,1,1,1,0,0,1,1,11.008,2584.2,4.576,17.732,2595,13.577,21.821,19.178,6.177,2.393,443.82,431.67,61.807,68.461,10.962,2563,4.584,17.882,2611.2,13.506,22.02,18.837,6.19,2.373,448.18,434.53,61.255,68.994,9.915,2978.3,2.37,16.788,3056.2,10.933,21.143,17.826,5.305,2.208,199.9,200.08,31.764,33.198,10.623,2495.7,4.581,17.637,2548.4,13.557,21.833,19.138,6.461,2.428,450.44,434.17,61.625,68.944,18.228,15355,7.618,28.132,15177,20.215,38.653,36.695,11.062,3.388,716.68,707,125.44,128.87,18.323,19019,3.877,28.565,18703,17.096,52.448,49.132,11.565,3.756,374.44,390.17,79.622,74.1,10.68,917.25,4.54,18.001,923.65,14.459,25.702,35.126,6.841,2.396,433.17,463.43,61.945,65.315
1,1,1,1,0,0,1,0,1,1,1,0,1,0,10.734,2568.7,4.582,17.627,2621.2,13.581,21.909,19.135,6.457,2.426,449.52,434.02,62.548,68.942,10.709,2539.1,4.539,17.462,2579.5,13.5,21.57,19.173,6.346,2.394,455.27,436.15,61.722,68.509,9.885,2935.9,2.412,16.64,3071.3,10.719,21.022,17.517,5.301,2.205,197.4,197.1,31.232,32.287,10.883,2498.1,4.553,17.697,2544,13.589,21.984,19.432,6.6,2.493,444.49,431.04,63.357,70.679,18.441,15355,7.669,28.446,15214,20.016,40.513,35.334,10.87,3.485,704.59,712.32,126.28,129.6,18.59,19014,4.023,32.83,19571,17.265,61.011,40.823,12.585,3.745,377.15,409.46,79.686,73.31,9.951,946.42,4.777,17.82,917.18,14.243,25.278,35.347,6.564,2.492,453.35,474.23,66.102,70.192
0,1,1,1,1,1,1,0,0,1,0,1,1,0,13.825,2567,5.195,20.968,2591.2,14.17,24.923,19.654,6.206,2.425,444.16,432,62.958,69.061,13.609,2556.8,5.204,20.685,2596.9,14.174,24.981,19.806,6.24,2.457,443.32,432.71,61.799,68.438,11.544,2970.6,2.609,18.197,3065.8,10.997,23.086,17.818,5.362,2.313,203.51,203.81,31.8,33.243,14.46,2526.4,5.212,21.54,2579.3,14.258,25.952,20.19,6.401,2.497,446.74,434.83,63.066,68.94,22.693,14508,8.794,32.902,14307,21.319,39.394,40.385,11.349,3.611,706.69,722.05,127.31,130.32,21.051,18431,4.404,35.291,17394,17.758,58.575,41.515,18.441,3.809,381.82,398.22,80.372,74.191,12.964,877.32,5.121,21.257,891.31,14.252,28.098,35.385,6.544,2.33,441.34,466.6,57.521,66.755
1,0,1,0,1,0,0,1,1,1,0,0,0,1,10.643,2549.7,4.599,17.465,2594,13.624,21.624,19.195,6.341,2.403,445.42,428.43,61.938,68.844,10.773,2549.5,4.653,17.567,2607.2,13.661,21.719,18.952,6.287,2.38,442.92,428.18,63.282,70.722,9.934,2972.5,2.557,16.584,3058.6,10.835,21.25,17.663,5.507,2.334,201.88,199.08,31.912,32.457,11.07,2503.7,4.598,17.662,2551.3,13.774,21.706,19.587,6.651,2.428,442.7,430,64.252,70.967,18.639,15564,7.919,36.048,15028,20.298,41.545,35.494,11.195,3.398,702.31,713.27,126.92,130.85,18.34,18961,3.971,32.11,18752,16.961,49.917,52.869,11.905,4.098,373.68,386.38,80.366,74.79,10.325,951.07,4.549,18.697,953.08,14.197,25.396,35.702,6.669,2.451,447.88,474.23,58.329,67.334
1,0,1,1,1,0,1,0,1,1,1,1,1,0,13.652,2560.9,5.235,21.011,2587.6,14.303,24.917,19.866,6.199,2.398,446.14,433.33,63.199,70.916,13.654,2574.8,5.233,20.962,2598,14.334,24.776,19.738,6.19,2.384,446.54,432.79,62.802,68.54,11.783,2982.3,2.656,18.253,3064.9,11.069,23.049,17.916,5.35,2.286,203.74,204.64,31.45,33.158,13.601,2508.3,5.195,20.831,2569.8,14.328,24.939,20.278,6.344,2.539,444.65,432.2,63.066,70.616,22.771,14830,9.147,35.986,14332,21.559,44.765,36.035,11.726,3.539,708.34,710,125.14,129.23,21.144,18037,4.426,37.061,17507,17.551,53.521,33.091,12.247,3.882,383.05,396.13,80.481,74.667,13.453,925.2,5.15,20.655,924.69,14.755,29.186,35.442,6.314,2.433,445.61,459.8,57.203,63.713
1,0,0,1,1,1,0,1,1,0,1,1,0,0,13.931,2571,5.184,20.687,2615.5,14.22,24.921,19.831,6.294,2.415,454.15,439.77,62.197,68.536,14.148,2554.8,5.19,21.432,2594.6,14.467,25.92,20.503,6.848,2.393,446.54,433.32,63.775,71.327,11.132,2970.5,2.221,17.748,3077,10.592,22.419,17.345,5.059,2.189,204.08,202.98,31.102,32.811,13.921,2506.4,5.224,20.96,2553.9,14.391,25.474,20.249,6.373,2.453,447.7,436.07,62.365,68.428,22.729,14005,8.983,36.9,13702,21.48,43.292,36.875,11.103,3.461,711.7,720.67,125.28,129.2,20.194,17945,3.699,31.67,17463,16.964,52.886,49.689,9.847,3.699,384.84,402.25,80.105,73.42,12.598,894.78,5.053,20.577,913.05,14.498,27.231,34.46,6.976,2.446,453.15,487.04,67.855,71.649
