non-deterministic,no-asm,no-mixed-refs,no-chroma-me,no-8x8dct,no-fast-pskip,no-dct-decimate,no-scenecut,no-cabac,no-deblock,no-mbtree,no-weightb,no-psy,no-progress,visualize,dts-compress,encoding_time_feature1_2762_8,encoding_time_feature1_2762_32,encoding_time_feature1_2762_128,encoding_time_feature8_2762_8,encoding_time_feature8_2762_32,encoding_time_feature8_2762_128,encoding_time_feature9_2389_8,encoding_time_feature9_2389_32,encoding_time_feature9_2389_128,encoding_time_feature10_2744_8,encoding_time_feature10_2744_32,encoding_time_feature10_2744_128,encoding_time_azure_2762_8,encoding_time_azure_2762_32,encoding_time_azure_2762_128,encoding_time_amazon_nano_2762_8,encoding_time_amazon_nano_2762_32,encoding_time_amazon_nano_2762_128,encoding_time_amazon_amazon_micro_2762_8,encoding_time_amazon_amazon_micro_2762_32,encoding_time_amazon_amazon_micro_2762_128
0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0.76333,5.4967,17.61,0.33667,2.48,7.9133,0.32333,2.43,7.8967,0.31667,2.4467,7.8667,0.46,4.3567,14.19,0.51333,79.957,261.51,0.51,4.51,125.35
1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0.98,6.0533,18.353,0.43667,2.7967,8.39,0.1,0.5,1.4833,0.096667,0.52667,1.5267,0.70667,4.6767,14.563,0.69333,102.14,312.26,0.67,4.7633,154.74
0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0.86667,5.4367,17.66,0.40667,2.4933,7.97,0.4,2.3833,7.74,0.40667,2.4633,7.8933,0.57,4.3667,14.22,0.63333,95.74,302.9,0.61667,4.4933,150.22
0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0.67667,4.94,15.097,0.3,2.2733,6.9367,0.28667,2.0433,6.1933,0.29667,2.28,6.9,0.44,3.8033,11.91,0.45667,81.57,203.81,0.44,3.81,113.84
1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0.78333,5.1233,17.177,0.37667,2.3467,7.76,0.38,2.3467,7.8867,0.38667,2.3633,7.71,0.6,4.1567,13.82,0.61,89.933,293.79,0.59,4.1933,132.63
0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0.91,5.8367,17.893,0.42667,2.6867,8.1633,0.38333,2.5267,7.7133,0.41,2.66,8.1133,0.59333,4.42,14.253,0.66667,97.443,301.89,0.63333,4.56,149.76
1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0.98667,6.1667,18.62,0.46333,2.8467,8.5033,0.48333,2.6933,8.08,0.47333,2.8433,8.5,0.70667,4.7733,14.93,0.81667,104.7,266.63,0.68667,4.87,157.24
1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0.91667,5.72,17.507,0.40667,2.62,7.9667,0.08,0.46667,1.3733,0.083333,0.48667,1.4233,0.62333,4.3633,13.783,0.65333,95.44,294.54,0.62,4.46,120.69
0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0.77,5.6367,17.147,0.32333,2.56,7.85,0.31333,2.37,7.19,0.32333,2.54,7.84,0.44,4.3167,13.613,0.50667,93.227,289.57,0.49333,4.3433,143.43
0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
